Stellar Mass,Log Stellar Mass,Halo Mass,Sigma Line of Sight,Half Light Radius (pc),Dynamical Mass,Mdyn / L
169.5874642,2.229393746,1303947.518,0,203.5118352,nan,nan
22590.83588,4.3539323,202199557.6,None,5271.444787,nan,nan
172.987734,2.23801531,2043613.653,0,63.70129741,nan,nan
192.6531872,2.284776198,931254.9157,0,322.4668915,nan,nan
202.5471171,2.306526066,1199097.936,0,152.2721879,nan,nan
182.6380462,2.261591252,14575998.13,0,208.6701679,nan,nan
3349.87657,3.525028805,685376929,None,13144.38879,nan,nan
682.3529557,2.834009077,432157565.2,None,12095.0491,nan,nan
138.2697778,2.140727265,726321.6436,0,220.4316683,nan,nan
1375.541571,3.13847372,210235801.4,0,4856.623798,nan,nan
5661556.313,6.752935831,1336183045,None,9518.471542,nan,nan
5677306.071,6.754142308,2183381004,0,9239.244941,nan,nan
528.9580114,2.723421199,120904911.5,None,5065.522725,nan,nan
176.4685547,2.246667329,107902610.3,None,2907.036636,nan,nan
887.5569402,2.948196224,149955870.9,None,3690.777179,nan,nan
193.1566755,2.285909722,29165340.75,0,73.46269702,nan,nan
187.1347779,2.272154506,11610661.34,0,260.9092705,nan,nan
369.6969877,2.567845912,51510692.83,0,224.231905,nan,nan
149.8850723,2.175758382,7697865.608,0,198.1124738,nan,nan
180.7080439,2.256977485,6895289.724,0,260.6458385,nan,nan
183.2737442,2.263100252,6357697.326,0,356.5743462,nan,nan
165.7498655,2.219453185,4126307.605,0,186.9325419,nan,nan
174.4019172,2.241551255,67073230.2,0,56.85903944,nan,nan
178.1302383,2.250737649,4648649.154,0,338.0133245,nan,nan
182.1227065,2.260364096,5024201.29,0,63.50179072,nan,nan
214.3575705,2.331138826,4292160.579,0,83.7119949,nan,nan
161.4136589,2.207940282,3075905.438,0,484.9985204,nan,nan
197.2965397,2.295119469,3820337.464,0,136.5524029,nan,nan
395.4204798,2.597059159,263750074.4,None,9814.930203,nan,nan
147.6402329,2.169204722,2713697.794,0,163.927112,nan,nan
5894.651063,3.770458102,257664032.8,None,4810.862571,nan,nan
205.2661904,2.312317422,2212326.161,0,75.06962861,nan,nan
171.5263508,2.234330848,26721392.33,None,4399.203453,nan,nan
36172.81182,4.558382269,724521090.3,None,12372.61471,nan,nan
206.9673284,2.315901794,1824382.711,0,19.79706273,nan,nan
369.6969877,2.567845912,95863018.81,None,3545.629471,nan,nan
191.1819333,2.281446849,81592990.83,None,5854.017156,nan,nan
133.3568215,2.125015236,1580369.14,0,118.5081488,nan,nan
181.3578109,2.258536265,1486957.695,0,107.5879867,nan,nan
190.6593467,2.280258101,1446924.219,0,413.4976391,nan,nan
183.2688265,2.263088599,172361273.2,None,7859.247268,nan,nan
181.9121081,2.259861607,1367810.444,0,297.0129589,nan,nan
202.6175202,2.306676996,1840586.737,0,111.3019073,nan,nan
141.1950261,2.149819398,1126656.408,0,391.5070269,nan,nan
51991.56868,4.715932921,725831710.1,None,8597.653495,nan,nan
213.9362782,2.330284436,1258194.973,0,283.0983902,nan,nan
28661.4727,4.457298502,516051527.8,None,8347.540461,nan,nan
14409802.12,7.158658017,2328600534,None,17820.71634,nan,nan
152.9155045,2.184451522,2239015.145,0,35.00700634,nan,nan
